year,symbol,change in 12 months
2015,AAL,28.144811350909073
2015,AAP,0.9950982250236782
2015,AAPL,25.589028020439024
2015,ABC,-0.6252686296572405
2015,ABT,3.1166657242082647
2015,ADBE,-30.74769520376505
2015,ADI,4.03245698427777
2015,ADM,10.051030058393476
2015,ADS,10.119283164752552
2015,ADSK,-23.04913663519796
2015,AEE,-1.6536008521733356
2015,AEP,-0.43240299976053
2015,AFL,-12.784684760900141
2015,AIG,-20.777417935785493
2015,AIV,-20.007631248163285
2015,AIZ,-20.752815102371954
2015,AJG,0.8805260676975539
2015,AKAM,-22.200403859805462
2015,ALB,-1.9256882126125179
2015,ALK,-11.873795877278253
2015,ALL,1.2413347512614545
2015,ALXN,-8.023726767617363
2015,AMAT,8.450497277393499
2015,AME,-19.428001053325332
2015,AMG,19.4001555595505
2015,AMGN,28.04059716438937
2015,AMP,24.437306412638023
2015,AMT,2.568313059228413
2015,AMZN,-7.663080574024842
2015,AN,9.110821326946487
2015,ANTM,-5.110993871028294
2015,AON,-8.244814099502289
2015,APA,2.6666358193865
2015,APC,24.738935023615703
2015,APD,9.843558370729212
2015,APH,-12.02573732742217
2015,ARNC,44.65999519477174
2015,ATVI,-49.58885892924456
2015,AVB,3.4708014876813147
2015,AVGO,-26.4695723044303
2015,AVY,-17.483622970416484
2015,AWK,-11.761563976772868
2015,AXP,3.238630282888878
2015,AYI,-29.619140187787288
2015,AZO,7.8844044665493715
2015,BA,-14.417712841069712
2015,BAC,19.815149852750654
2015,BAX,0.9263610943982854
2015,BBBY,21.626137393449664
2015,BBT,3.880620711174586
2015,BBY,16.1933935268416
2015,BCR,-14.502626690948848
2015,BDX,3.282514726916211
2015,BHI,-7.046068418691401
2015,BIIB,30.17231705262724
2015,BK,-3.0880189052398324
2015,BLL,-16.73647677490612
2015,BMY,2.193668446863387
2015,BSX,-14.728000117080946
2015,BWA,-6.63564560974002
2015,BXP,-2.3629124135323254
2015,C,10.359881252587398
2015,CAG,-19.599530208880953
2015,CAH,1.48053118217602
2015,CAT,-4.44253675099672
2015,CB,-5.160197722832909
2015,CBG,6.659043664818201
2015,CCI,-3.825509926806044
2015,CCL,20.851656838441627
2015,CELG,9.065529322752457
2015,CERN,-3.494636327849177
2015,CF,28.638774326627335
2015,CHD,-1.5782603726280287
2015,CHK,64.80324364147955
2015,CHRW,5.139798174342869
2015,CI,-31.476934447384554
2015,CINF,-19.733576430699273
2015,CL,-6.279142129556548
2015,CLX,-10.525702145218547
2015,CMA,-6.407967688826913
