Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2015-12-31,AME,18.0,36.0,23.0,15.0,37.0
2012-12-31,AMG,8.0,100.0,20.0,10.0,74.4574898785425
2013-12-31,AMG,17.0,100.0,25.0,17.0,74.4574898785425
2014-12-31,AMG,17.0,100.0,29.0,19.0,74.4574898785425
2015-12-31,AMG,18.0,100.0,32.0,21.0,74.4574898785425
2013-12-31,AMGN,23.0,82.0,31.0,27.0,244.0
2012-12-31,AMP,11.0,81.0,15.0,10.0,74.4574898785425
2013-12-31,AMP,16.0,83.0,20.0,12.0,74.4574898785425
2014-12-31,AMP,20.0,84.0,24.0,13.0,74.4574898785425
2015-12-31,AMP,22.0,81.0,21.0,13.0,74.4574898785425
2012-12-31,AMT,18.0,75.0,39.0,22.0,70.0
2013-12-31,AMT,16.0,74.0,36.0,16.0,50.0
2014-12-31,AMT,21.0,73.0,36.0,20.0,25.0
2015-12-31,AMT,10.0,73.0,34.0,14.0,39.0
2013-12-31,AMZN,3.0,27.0,1.0,0.0,54.0
2014-12-31,AMZN,2.0,29.0,0.0,0.0,62.0
2015-12-31,AMZN,4.0,33.0,2.0,1.0,58.0
2016-12-31,AMZN,12.0,35.0,3.0,2.0,59.0
2013-12-31,AN,18.0,16.0,4.0,2.0,2.0
2014-12-31,AN,20.0,16.0,4.0,2.0,2.0
2015-12-31,AN,19.0,16.0,4.0,2.0,1.0
2016-12-31,AN,19.0,15.0,4.0,2.0,1.0
2012-12-31,ANTM,11.0,22.0,6.0,4.0,74.4574898785425
2013-12-31,ANTM,10.0,21.0,5.0,4.0,74.4574898785425
2014-12-31,ANTM,11.0,23.0,6.0,3.0,74.4574898785425
2015-12-31,ANTM,11.0,23.0,6.0,3.0,74.4574898785425
2012-12-31,AON,13.0,100.0,14.0,9.0,74.4574898785425
2013-12-31,AON,14.0,100.0,14.0,9.0,74.4574898785425
2014-12-31,AON,21.0,100.0,16.0,12.0,74.4574898785425
2015-12-31,AON,23.0,100.0,16.0,12.0,74.4574898785425
2012-12-31,APA,6.0,81.0,30.0,12.0,3.0
2013-12-31,APA,7.0,80.0,30.0,15.0,41.0
2014-12-31,APA,20.0,80.0,21.0,40.0,21.0
2013-12-31,APC,4.0,80.0,23.0,5.0,65.0
2014-12-31,APC,9.0,82.0,29.0,9.0,72.0
2016-12-31,APC,25.0,63.0,33.0,39.0,96.0
2013-09-30,APD,14.0,27.0,13.0,10.0,14.0
2014-09-30,APD,13.0,27.0,13.0,9.0,11.0
2015-09-30,APD,18.0,30.0,17.0,13.0,6.0
2016-09-30,APD,9.0,33.0,22.0,7.0,46.0
2012-12-31,APH,23.0,31.0,19.0,13.0,106.0
2013-12-31,APH,22.0,31.0,19.0,14.0,74.0
2014-12-31,APH,24.0,32.0,19.0,13.0,127.0
2015-12-31,APH,24.0,32.0,20.0,14.0,175.0
2012-12-31,ARNC,1.0,14.0,2.0,1.0,31.0
2013-12-31,ARNC,22.0,16.0,6.0,10.0,24.0
2014-12-31,ARNC,2.0,20.0,4.0,1.0,34.0
2015-12-31,ARNC,3.0,20.0,3.0,1.0,37.0
2012-12-31,ATVI,10.0,66.0,30.0,24.0,165.0
2013-12-31,ATVI,15.0,67.0,30.0,22.0,185.0
2014-12-31,ATVI,12.0,65.0,27.0,19.0,179.0
2015-12-31,ATVI,11.0,66.0,28.0,19.0,70.0
2012-12-31,AVB,6.0,100.0,35.0,42.0,74.4574898785425
2013-12-31,AVB,4.0,100.0,21.0,24.0,74.4574898785425
2014-12-31,AVB,8.0,100.0,37.0,41.0,74.4574898785425
2015-12-31,AVB,8.0,100.0,38.0,40.0,74.4574898785425
2015-11-01,AVGO,29.0,52.0,24.0,20.0,163.0
2016-10-30,AVGO,10.0,45.0,3.0,14.0,101.0
2012-12-31,AVY,14.0,26.0,6.0,4.0,11.0
2013-12-28,AVY,14.0,27.0,8.0,3.0,23.0
2015-01-03,AVY,23.0,26.0,8.0,4.0,13.0
2016-01-02,AVY,28.0,28.0,9.0,5.0,11.0
2012-12-31,AWK,8.0,53.0,32.0,13.0,5.0
2013-12-31,AWK,8.0,55.0,33.0,13.0,4.0
2014-12-31,AWK,9.0,55.0,33.0,14.0,3.0
2015-12-31,AWK,9.0,56.0,34.0,15.0,4.0
2012-12-31,AXP,24.0,0.0,0.0,13.0,74.4574898785425
2013-12-31,AXP,27.0,0.0,0.0,15.0,74.4574898785425
2014-12-31,AXP,28.0,0.0,0.0,16.0,74.4574898785425
2015-12-31,AXP,25.0,0.0,0.0,15.0,74.4574898785425
2013-08-31,AYI,13.0,40.0,11.0,6.0,93.0
2014-08-31,AYI,15.0,41.0,12.0,7.0,117.0
2015-08-31,AYI,16.0,42.0,14.0,8.0,145.0
2016-08-31,AYI,18.0,44.0,14.0,9.0,61.0
2013-08-31,AZO,60.0,52.0,19.0,11.0,3.0
2014-08-30,AZO,66.0,52.0,19.0,11.0,3.0
2015-08-29,AZO,68.0,52.0,19.0,11.0,4.0
2016-08-27,AZO,69.0,53.0,19.0,12.0,4.0
2013-12-31,BA,31.0,15.0,8.0,5.0,30.0
2014-12-31,BA,63.0,15.0,8.0,6.0,27.0
2015-12-31,BA,82.0,15.0,8.0,5.0,24.0
2016-12-31,BA,599.0,15.0,6.0,5.0,20.0
2012-12-31,BAC,2.0,0.0,0.0,4.0,74.4574898785425
2013-12-31,BAC,5.0,0.0,0.0,11.0,74.4574898785425
2014-12-31,BAC,2.0,0.0,0.0,5.0,74.4574898785425
2015-12-31,BAC,6.0,0.0,0.0,17.0,74.4574898785425
2012-12-31,BAX,34.0,51.0,20.0,17.0,69.0
2013-12-31,BAX,24.0,44.0,5.0,21.0,52.0
2014-12-31,BAX,31.0,43.0,6.0,23.0,48.0
2015-12-31,BAX,11.0,42.0,5.0,10.0,128.0
2013-03-02,BBBY,25.0,40.0,15.0,10.0,62.0
2014-03-01,BBBY,26.0,40.0,14.0,9.0,47.0
2015-02-28,BBBY,35.0,39.0,13.0,8.0,51.0
2016-02-27,BBBY,33.0,38.0,12.0,7.0,32.0
2012-12-31,BBT,9.0,0.0,0.0,18.0,74.4574898785425
2013-12-31,BBT,7.0,0.0,0.0,16.0,74.4574898785425
2014-12-31,BBT,9.0,0.0,0.0,21.0,74.4574898785425
2015-12-31,BBT,8.0,0.0,0.0,20.0,74.4574898785425
2012-03-03,BBY,33.0,24.0,5.0,3.0,14.0
2014-02-01,BBY,13.0,23.0,3.0,1.0,39.0
2015-01-31,BBY,25.0,22.0,4.0,3.0,50.0
2016-01-30,BBY,20.0,23.0,3.0,2.0,47.0
2013-12-31,BCR,33.0,61.0,21.0,23.0,185.0
2014-12-31,BCR,16.0,62.0,24.0,9.0,164.0
2015-12-31,BCR,9.0,62.0,25.0,4.0,82.0
2016-12-31,BCR,32.0,63.0,26.0,14.0,100.0
2013-09-30,BDX,26.0,52.0,16.0,16.0,122.0
2014-09-30,BDX,23.0,51.0,19.0,14.0,123.0
2015-09-30,BDX,10.0,46.0,10.0,7.0,35.0
2016-09-30,BDX,13.0,48.0,11.0,8.0,43.0
2013-12-31,BHI,6.0,17.0,9.0,5.0,31.0
2014-12-31,BHI,9.0,20.0,12.0,7.0,38.0
2015-12-31,BHI,12.0,8.0,15.0,12.0,84.0
2016-12-31,BHI,22.0,1.0,16.0,28.0,198.0
2013-12-31,BIIB,22.0,88.0,36.0,27.0,70.0
2014-12-31,BIIB,27.0,88.0,41.0,30.0,83.0
2015-12-31,BIIB,38.0,88.0,45.0,33.0,133.0
2016-12-31,BIIB,31.0,87.0,45.0,32.0,143.0
2012-12-31,BK,7.0,100.0,22.0,17.0,74.4574898785425
2013-12-31,BK,6.0,100.0,24.0,14.0,74.4574898785425
2014-12-31,BK,7.0,100.0,22.0,16.0,74.4574898785425
2015-12-31,BK,8.0,100.0,28.0,21.0,74.4574898785425
