Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2013-02-01,DG,19.0,32.0,10.0,6.0,8.0
2014-01-31,DG,19.0,31.0,10.0,6.0,28.0
2015-01-30,DG,19.0,31.0,9.0,6.0,30.0
2016-01-29,DG,22.0,31.0,10.0,6.0,8.0
2012-12-31,DGX,13.0,41.0,16.0,8.0,28.0
2013-12-31,DGX,22.0,39.0,21.0,12.0,17.0
2014-12-31,DGX,13.0,38.0,13.0,7.0,11.0
2015-12-31,DGX,15.0,38.0,19.0,9.0,11.0
2013-09-30,DHI,11.0,22.0,12.0,7.0,74.4574898785425
2014-09-30,DHI,10.0,22.0,12.0,7.0,74.4574898785425
2015-09-30,DHI,13.0,21.0,12.0,7.0,74.4574898785425
2016-09-30,DHI,13.0,22.0,13.0,7.0,74.4574898785425
2012-12-31,DHR,13.0,52.0,17.0,13.0,40.0
2013-12-31,DHR,12.0,51.0,17.0,15.0,69.0
2014-12-31,DHR,11.0,52.0,17.0,14.0,56.0
2015-12-31,DHR,14.0,52.0,17.0,16.0,13.0
2013-09-28,DIS,14.0,44.0,21.0,14.0,34.0
2014-09-27,DIS,17.0,46.0,23.0,15.0,26.0
2015-10-03,DIS,19.0,46.0,25.0,16.0,26.0
2016-10-01,DIS,22.0,46.0,26.0,17.0,27.0
2013-12-31,DISCA,17.0,69.0,36.0,19.0,32.0
2014-12-31,DISCA,20.0,66.0,33.0,18.0,14.0
2015-12-31,DISCA,19.0,63.0,31.0,16.0,25.0
2016-12-31,DISCA,23.0,63.0,32.0,18.0,19.0
2013-12-31,DISCK,17.0,69.0,36.0,19.0,32.0
2014-12-31,DISCK,20.0,66.0,33.0,18.0,14.0
2015-12-31,DISCK,19.0,63.0,31.0,16.0,25.0
2016-12-31,DISCK,23.0,63.0,32.0,18.0,19.0
2013-12-31,DLPH,42.0,18.0,11.0,8.0,36.0
2014-12-31,DLPH,54.0,20.0,11.0,9.0,22.0
2015-12-31,DLPH,64.0,20.0,11.0,10.0,14.0
2016-12-31,DLPH,52.0,21.0,12.0,8.0,20.0
2012-12-31,DLR,6.0,64.0,29.0,16.0,74.4574898785425
2013-12-31,DLR,9.0,63.0,26.0,21.0,74.4574898785425
2014-12-31,DLR,5.0,63.0,16.0,12.0,74.4574898785425
2015-12-31,DLR,7.0,63.0,23.0,17.0,74.4574898785425
2013-02-02,DLTR,37.0,36.0,12.0,8.0,59.0
2014-02-01,DLTR,51.0,36.0,12.0,8.0,39.0
2015-01-31,DLTR,34.0,35.0,12.0,7.0,100.0
2016-01-30,DLTR,6.0,30.0,7.0,2.0,35.0
2012-12-31,DNB,29.0,100.0,26.0,18.0,17.0
2013-12-31,DNB,25.0,100.0,27.0,17.0,28.0
2014-12-31,DNB,24.0,100.0,26.0,19.0,27.0
2015-12-31,DNB,15.0,100.0,21.0,10.0,38.0
2013-12-31,DOV,19.0,39.0,16.0,14.0,60.0
2014-12-31,DOV,21.0,38.0,16.0,10.0,33.0
2015-12-31,DOV,24.0,37.0,13.0,13.0,26.0
2016-12-31,DOV,13.0,36.0,11.0,7.0,18.0
2013-12-31,DPS,27.0,58.0,17.0,10.0,15.0
2014-12-31,DPS,31.0,59.0,19.0,11.0,23.0
2015-12-31,DPS,35.0,59.0,21.0,12.0,58.0
2016-12-31,DPS,40.0,60.0,22.0,13.0,170.0
2013-05-26,DRI,20.0,22.0,7.0,7.0,6.0
2014-05-25,DRI,13.0,21.0,5.0,5.0,6.0
2015-05-31,DRI,30.0,21.0,5.0,10.0,45.0
2016-05-29,DRI,19.0,22.0,9.0,5.0,23.0
2012-12-31,DUK,4.0,37.0,16.0,10.0,18.0
2013-12-31,DUK,6.0,40.0,21.0,12.0,18.0
2014-12-31,DUK,5.0,40.0,22.0,8.0,18.0
2015-12-31,DUK,7.0,41.0,23.0,12.0,8.0
2012-12-31,DVA,14.0,32.0,16.0,7.0,27.0
2013-12-31,DVA,14.0,30.0,13.0,5.0,39.0
2014-12-31,DVA,14.0,29.0,14.0,6.0,62.0
2015-12-31,DVA,6.0,29.0,8.0,2.0,79.0
2013-12-31,DVN,0.0,78.0,5.0,0.0,91.0
2014-12-31,DVN,7.0,89.0,23.0,8.0,25.0
2016-12-31,DVN,56.0,87.0,24.0,27.0,75.0
2013-03-31,EA,4.0,63.0,3.0,3.0,88.0
2014-03-31,EA,0.0,62.0,1.0,0.0,99.0
2015-03-31,EA,29.0,68.0,21.0,19.0,110.0
2016-03-31,EA,34.0,69.0,20.0,26.0,159.0
2013-12-31,EBAY,12.0,82.0,30.0,35.0,71.0
2014-12-31,EBAY,0.0,81.0,28.0,1.0,45.0
2015-12-31,EBAY,26.0,79.0,26.0,20.0,271.0
2012-12-31,ECL,12.0,46.0,11.0,6.0,38.0
2013-12-31,ECL,13.0,46.0,12.0,7.0,10.0
2014-12-31,ECL,16.0,46.0,14.0,8.0,5.0
2015-12-31,ECL,15.0,47.0,12.0,7.0,2.0
2013-12-31,ED,9.0,42.0,18.0,9.0,21.0
2014-12-31,ED,9.0,40.0,17.0,8.0,19.0
2015-12-31,ED,9.0,44.0,19.0,10.0,20.0
2016-12-31,ED,9.0,47.0,21.0,10.0,20.0
2012-12-31,EFX,14.0,63.0,23.0,13.0,23.0
2013-12-31,EFX,15.0,66.0,27.0,15.0,36.0
2014-12-31,EFX,17.0,65.0,26.0,15.0,16.0
2015-12-31,EFX,19.0,67.0,26.0,16.0,15.0
2012-12-31,EIX,1.0,35.0,19.0,1.0,5.0
2013-12-31,EIX,10.0,34.0,14.0,8.0,3.0
2014-12-31,EIX,16.0,35.0,18.0,13.0,2.0
2015-12-31,EIX,10.0,37.0,17.0,10.0,3.0
2013-06-30,EL,31.0,80.0,15.0,10.0,77.0
2014-06-30,EL,31.0,80.0,17.0,11.0,79.0
2015-06-30,EL,30.0,81.0,15.0,10.0,72.0
2016-06-30,EL,31.0,81.0,14.0,10.0,52.0
2012-12-31,EMN,15.0,22.0,10.0,5.0,18.0
2013-12-31,EMN,31.0,30.0,20.0,12.0,16.0
2014-12-31,EMN,21.0,23.0,12.0,8.0,11.0
2015-12-31,EMN,22.0,27.0,14.0,9.0,14.0
2013-09-30,EMR,19.0,40.0,14.0,8.0,43.0
2014-09-30,EMR,22.0,44.0,19.0,12.0,37.0
2015-09-30,EMR,34.0,43.0,18.0,17.0,39.0
2016-09-30,EMR,22.0,43.0,17.0,11.0,40.0
2012-12-31,EOG,4.0,85.0,13.0,5.0,30.0
2013-12-31,EOG,14.0,86.0,25.0,15.0,46.0
2014-12-31,EOG,16.0,86.0,29.0,16.0,62.0
2012-12-31,EQIX,6.0,50.0,21.0,7.0,76.0
2013-12-31,EQIX,4.0,51.0,21.0,4.0,116.0
2014-12-31,EQIX,11.0,51.0,21.0,11.0,178.0
2015-12-31,EQIX,7.0,53.0,21.0,7.0,164.0
2012-12-31,EQR,12.0,64.0,29.0,48.0,74.4574898785425
2014-12-31,EQR,6.0,66.0,35.0,24.0,74.4574898785425
2015-12-31,EQR,8.0,67.0,37.0,32.0,74.4574898785425
2013-12-31,EQT,10.0,81.0,34.0,21.0,162.0
2014-12-31,EQT,8.0,81.0,31.0,16.0,129.0
2015-12-31,EQT,2.0,73.0,9.0,4.0,201.0
2016-12-31,EQT,8.0,67.0,2.0,24.0,173.0
2012-12-31,ES,6.0,42.0,18.0,8.0,1.0
2013-12-31,ES,8.0,45.0,21.0,11.0,1.0
2014-12-31,ES,8.0,43.0,21.0,11.0,1.0
2015-12-31,ES,8.0,44.0,22.0,11.0,1.0
2012-12-31,ESS,7.0,68.0,31.0,23.0,74.4574898785425
2013-12-31,ESS,8.0,68.0,31.0,26.0,74.4574898785425
2014-12-31,ESS,2.0,68.0,21.0,13.0,74.4574898785425
2015-12-31,ESS,4.0,70.0,28.0,19.0,74.4574898785425
2012-12-31,ETFC,2.0,100.0,15.0,8.0,74.4574898785425
2013-12-31,ETFC,2.0,100.0,13.0,6.0,74.4574898785425
2014-12-31,ETFC,5.0,100.0,31.0,18.0,74.4574898785425
2015-12-31,ETFC,5.0,100.0,14.0,19.0,74.4574898785425
2012-12-31,ETN,8.0,30.0,9.0,7.0,20.0
2013-12-31,ETN,11.0,30.0,10.0,8.0,35.0
2014-12-31,ETN,11.0,31.0,8.0,8.0,19.0
2015-12-31,ETN,13.0,31.0,11.0,9.0,10.0
2012-12-31,ETR,9.0,36.0,13.0,8.0,14.0
2013-12-31,ETR,8.0,33.0,12.0,6.0,18.0
2014-12-31,ETR,10.0,35.0,16.0,8.0,37.0
2015-12-31,ETR,2.0,35.0,3.0,1.0,44.0
2012-12-31,EW,20.0,74.0,21.0,15.0,150.0
2013-12-31,EW,25.0,75.0,25.0,19.0,271.0
2015-12-31,EW,20.0,75.0,25.0,20.0,257.0
2013-12-31,EXC,8.0,28.0,15.0,7.0,23.0
2014-12-31,EXC,7.0,21.0,11.0,6.0,25.0
2015-12-31,EXC,9.0,27.0,15.0,8.0,74.0
2016-12-31,EXC,4.0,28.0,10.0,4.0,7.0
2012-12-31,EXPD,16.0,31.0,9.0,6.0,150.0
2013-12-31,EXPD,17.0,31.0,9.0,6.0,146.0
2014-12-31,EXPD,20.0,30.0,9.0,6.0,98.0
2015-12-31,EXPD,27.0,33.0,11.0,7.0,94.0
2013-12-31,EXPE,11.0,78.0,8.0,5.0,42.0
2014-12-31,EXPE,22.0,80.0,9.0,7.0,43.0
2015-12-31,EXPE,16.0,80.0,6.0,11.0,29.0
2016-12-31,EXPE,7.0,82.0,5.0,3.0,31.0
2012-12-31,EXR,14.0,72.0,38.0,51.0,74.4574898785425
2014-12-31,EXR,21.0,73.0,43.0,57.0,74.4574898785425
2015-12-31,EXR,19.0,74.0,38.0,50.0,74.4574898785425
2013-12-31,F,46.0,16.0,9.0,8.0,187.0
2014-12-31,F,5.0,8.0,0.0,1.0,155.0
2015-12-31,F,26.0,12.0,5.0,5.0,43.0
2016-12-31,F,16.0,11.0,3.0,3.0,43.0
2013-12-31,FAST,25.0,52.0,21.0,13.0,25.0
2014-12-31,FAST,26.0,51.0,21.0,13.0,31.0
2015-12-31,FAST,29.0,50.0,21.0,13.0,35.0
2016-12-31,FAST,26.0,50.0,20.0,13.0,41.0
2012-12-31,FBHS,5.0,33.0,5.0,4.0,53.0
2013-12-31,FBHS,9.0,35.0,9.0,6.0,33.0
2014-12-31,FBHS,7.0,34.0,10.0,4.0,27.0
2015-12-31,FBHS,13.0,35.0,11.0,7.0,31.0
2012-12-31,FCX,18.0,36.0,32.0,17.0,111.0
2013-12-31,FCX,13.0,30.0,26.0,13.0,42.0
2014-12-31,FCX,3.0,9.0,0.0,3.0,9.0
2013-05-31,FDX,16.0,63.0,10.0,6.0,86.0
2014-05-31,FDX,15.0,63.0,8.0,5.0,55.0
2015-05-31,FDX,7.0,64.0,4.0,2.0,63.0
2016-05-31,FDX,13.0,66.0,6.0,4.0,44.0
2012-12-31,FE,6.0,56.0,14.0,5.0,2.0
2013-12-31,FE,3.0,57.0,11.0,3.0,3.0
2014-12-31,FE,2.0,54.0,7.0,2.0,2.0
2015-12-31,FE,5.0,59.0,15.0,4.0,2.0
2013-09-30,FFIV,18.0,83.0,29.0,19.0,98.0
2014-09-30,FFIV,23.0,82.0,28.0,18.0,101.0
2015-09-30,FFIV,28.0,83.0,29.0,19.0,103.0
2016-09-30,FFIV,31.0,83.0,27.0,18.0,105.0
2012-12-31,FIS,7.0,32.0,19.0,8.0,41.0
2013-12-31,FIS,8.0,33.0,18.0,9.0,33.0
2014-12-31,FIS,11.0,33.0,20.0,11.0,31.0
2015-12-31,FIS,7.0,33.0,17.0,10.0,29.0
2012-12-31,FISV,18.0,42.0,24.0,14.0,32.0
2013-12-31,FISV,18.0,42.0,22.0,13.0,30.0
2014-12-31,FISV,23.0,43.0,24.0,15.0,20.0
2015-12-31,FISV,27.0,45.0,25.0,14.0,18.0
2013-02-02,FL,17.0,33.0,10.0,6.0,146.0
2014-02-01,FL,17.0,33.0,10.0,7.0,138.0
2015-01-31,FL,21.0,33.0,11.0,7.0,139.0
2016-01-30,FL,21.0,34.0,11.0,7.0,146.0
2012-12-31,FLIR,14.0,52.0,22.0,16.0,133.0
2013-12-31,FLIR,11.0,49.0,16.0,12.0,196.0
2014-12-31,FLIR,12.0,49.0,17.0,13.0,172.0
2015-12-31,FLIR,15.0,48.0,20.0,16.0,81.0
2013-12-31,FLR,18.0,5.0,4.0,2.0,72.0
2014-12-31,FLR,16.0,6.0,6.0,2.0,63.0
2015-12-31,FLR,14.0,6.0,4.0,2.0,73.0
2016-12-31,FLR,9.0,4.0,3.0,1.0,51.0
2013-12-31,FLS,26.0,34.0,15.0,10.0,23.0
2014-12-31,FLS,27.0,35.0,16.0,11.0,31.0
2015-12-31,FLS,16.0,33.0,12.0,6.0,27.0
2016-12-31,FLS,9.0,31.0,7.0,4.0,31.0
2012-12-31,FMC,28.0,37.0,19.0,12.0,7.0
2013-12-31,FMC,19.0,38.0,17.0,9.0,6.0
2014-12-31,FMC,20.0,37.0,13.0,9.0,6.0
2015-12-31,FMC,26.0,33.0,2.0,15.0,5.0
2013-12-31,FRT,11.0,70.0,40.0,26.0,74.4574898785425
2014-12-31,FRT,10.0,69.0,40.0,24.0,74.4574898785425
2015-12-31,FRT,13.0,69.0,40.0,28.0,74.4574898785425
2016-12-31,FRT,13.0,68.0,40.0,31.0,74.4574898785425
2012-12-31,FSLR,3.0,25.0,1.0,3.0,91.0
2013-12-31,FSLR,8.0,26.0,11.0,11.0,111.0
2014-12-31,FSLR,8.0,24.0,12.0,12.0,199.0
2015-12-31,FSLR,10.0,26.0,14.0,15.0,190.0
2012-12-31,FTR,1.0,100.0,20.0,1.0,86.0
2013-12-31,FTR,1.0,100.0,21.0,1.0,68.0
2014-12-31,FTR,4.0,100.0,17.0,3.0,45.0
2013-12-31,GD,16.0,19.0,12.0,8.0,43.0
2014-12-31,GD,21.0,19.0,13.0,8.0,32.0
2015-12-31,GD,28.0,19.0,13.0,9.0,22.0
2016-12-31,GD,27.0,20.0,14.0,9.0,18.0
2012-12-31,GGP,6.0,67.0,32.0,20.0,74.4574898785425
2013-12-31,GGP,4.0,67.0,34.0,12.0,74.4574898785425
2014-12-31,GGP,9.0,69.0,37.0,26.0,74.4574898785425
2015-12-31,GGP,17.0,69.0,38.0,57.0,74.4574898785425
2012-12-31,GILD,28.0,75.0,41.0,27.0,44.0
2013-12-31,GILD,27.0,74.0,40.0,27.0,33.0
2014-12-31,GILD,78.0,85.0,61.0,49.0,176.0
2015-12-31,GILD,98.0,88.0,68.0,55.0,148.0
2013-05-26,GIS,28.0,36.0,16.0,10.0,14.0
2014-05-25,GIS,28.0,36.0,17.0,10.0,16.0
2015-05-31,GIS,24.0,34.0,12.0,7.0,7.0
2016-05-29,GIS,34.0,35.0,16.0,10.0,15.0
2013-12-31,GLW,9.0,43.0,18.0,25.0,300.0
2014-12-31,GLW,11.0,42.0,20.0,25.0,261.0
2015-12-31,GLW,7.0,40.0,15.0,15.0,163.0
2016-12-31,GLW,21.0,40.0,15.0,39.0,192.0
2013-12-31,GM,13.0,12.0,3.0,3.0,48.0
2014-12-31,GM,11.0,9.0,1.0,3.0,45.0
2015-12-31,GM,24.0,12.0,3.0,6.0,33.0
2016-12-31,GM,22.0,13.0,6.0,6.0,29.0
2012-12-31,GPC,22.0,29.0,8.0,5.0,16.0
2013-12-31,GPC,20.0,30.0,7.0,5.0,6.0
2014-12-31,GPC,22.0,30.0,7.0,5.0,4.0
2015-12-31,GPC,22.0,30.0,7.0,5.0,5.0
2013-05-31,GPN,19.0,64.0,15.0,9.0,97.0
2014-05-31,GPN,25.0,63.0,16.0,10.0,48.0
2015-05-31,GPN,37.0,63.0,16.0,10.0,22.0
2016-05-31,GPN,10.0,60.0,15.0,9.0,43.0
2013-02-02,GPS,39.0,39.0,12.0,7.0,64.0
2014-02-01,GPS,42.0,39.0,13.0,8.0,62.0
2015-01-31,GPS,42.0,38.0,13.0,8.0,68.0
2016-01-30,GPS,36.0,36.0,10.0,6.0,54.0
2012-12-29,GRMN,15.0,53.0,22.0,20.0,152.0
2013-12-28,GRMN,17.0,53.0,22.0,23.0,147.0
2014-12-27,GRMN,11.0,56.0,24.0,13.0,132.0
2015-12-26,GRMN,14.0,55.0,19.0,16.0,121.0
2013-12-31,GT,39.0,21.0,7.0,3.0,60.0
2014-12-31,GT,68.0,23.0,8.0,14.0,46.0
2015-12-31,GT,8.0,26.0,9.0,2.0,30.0
2016-12-31,GT,28.0,28.0,10.0,8.0,24.0
2012-12-31,GWW,23.0,44.0,13.0,8.0,42.0
2013-12-31,GWW,25.0,44.0,14.0,8.0,36.0
2014-12-31,GWW,25.0,43.0,14.0,8.0,18.0
2015-12-31,GWW,34.0,42.0,13.0,8.0,16.0
2013-12-31,HAL,16.0,15.0,11.0,7.0,47.0
2014-12-31,HAL,22.0,17.0,16.0,11.0,39.0
2015-12-31,HAL,4.0,11.0,1.0,3.0,189.0
2016-12-31,HAL,61.0,5.0,43.0,36.0,100.0
2013-06-30,HAR,9.0,26.0,5.0,3.0,43.0
2014-06-30,HAR,13.0,27.0,6.0,4.0,39.0
2015-06-30,HAR,14.0,30.0,8.0,6.0,31.0
2016-06-30,HAR,15.0,30.0,8.0,5.0,33.0
2012-12-31,HAS,22.0,59.0,13.0,8.0,88.0
2013-12-29,HAS,17.0,59.0,11.0,7.0,50.0
2014-12-28,HAS,28.0,60.0,15.0,10.0,83.0
2015-12-27,HAS,27.0,62.0,16.0,10.0,92.0
2012-12-31,HBAN,11.0,0.0,0.0,21.0,74.4574898785425
2013-12-31,HBAN,11.0,0.0,0.0,22.0,74.4574898785425
2014-12-31,HBAN,10.0,0.0,0.0,21.0,74.4574898785425
2015-12-31,HBAN,11.0,0.0,0.0,22.0,74.4574898785425
2013-12-28,HBI,27.0,35.0,11.0,7.0,12.0
2015-01-03,HBI,29.0,36.0,11.0,8.0,16.0
2016-01-02,HBI,34.0,37.0,10.0,7.0,21.0
2016-12-31,HBI,44.0,38.0,13.0,9.0,29.0
2012-12-31,HCA,17.0,83.0,15.0,5.0,11.0
2013-12-31,HCA,19.0,83.0,14.0,5.0,7.0
2014-12-31,HCA,24.0,83.0,15.0,5.0,10.0
2015-12-31,HCA,28.0,83.0,15.0,5.0,13.0
2012-12-31,HCN,3.0,68.0,30.0,17.0,74.4574898785425
2013-12-31,HCN,1.0,58.0,19.0,5.0,74.4574898785425
2014-12-31,HCN,4.0,58.0,26.0,15.0,74.4574898785425
2015-12-31,HCN,6.0,57.0,28.0,22.0,74.4574898785425
2013-12-31,HCP,9.0,100.0,59.0,48.0,74.4574898785425
2015-12-31,HCP,6.0,100.0,26.0,31.0,74.4574898785425
2016-12-31,HCP,11.0,100.0,30.0,31.0,74.4574898785425
2013-02-03,HD,26.0,35.0,10.0,6.0,22.0
2014-02-02,HD,43.0,34.0,12.0,7.0,18.0
2015-02-01,HD,68.0,34.0,13.0,8.0,15.0
2016-01-31,HD,111.0,34.0,13.0,8.0,18.0
2012-12-31,HES,10.0,71.0,25.0,17.0,8.0
2013-12-31,HES,20.0,67.0,24.0,42.0,28.0
2014-12-31,HES,10.0,65.0,19.0,22.0,50.0
2015-12-31,HES,16.0,50.0,58.0,46.0,103.0
2012-12-31,HIG,0.0,40.0,0.0,0.0,74.4574898785425
2013-12-31,HIG,1.0,47.0,7.0,1.0,74.4574898785425
2014-12-31,HIG,4.0,42.0,9.0,4.0,74.4574898785425
2015-12-31,HIG,10.0,41.0,11.0,9.0,74.4574898785425
2012-12-31,HOG,24.0,38.0,18.0,11.0,93.0
2013-12-31,HOG,24.0,39.0,20.0,12.0,52.0
2014-12-31,HOG,29.0,39.0,21.0,14.0,44.0
2015-12-31,HOG,41.0,40.0,19.0,13.0,31.0
2013-09-28,HOLX,60.0,47.0,36.0,47.0,76.0
2014-09-27,HOLX,1.0,49.0,11.0,1.0,120.0
2015-09-26,HOLX,6.0,53.0,17.0,5.0,52.0
2016-09-24,HOLX,15.0,55.0,19.0,12.0,61.0
2013-12-31,HON,22.0,27.0,14.0,10.0,57.0
2014-12-31,HON,24.0,28.0,14.0,11.0,62.0
2015-12-31,HON,26.0,31.0,18.0,12.0,41.0
2016-12-31,HON,25.0,31.0,17.0,12.0,60.0
2013-09-30,HP,17.0,45.0,28.0,22.0,99.0
2014-09-30,HP,14.0,46.0,28.0,19.0,71.0
2015-09-30,HP,9.0,46.0,21.0,13.0,223.0
2016-09-30,HP,1.0,45.0,2.0,3.0,288.0
2014-10-31,HPE,4.0,28.0,4.0,3.0,12.0
2015-10-31,HPE,7.0,29.0,3.0,5.0,45.0
2016-10-31,HPE,10.0,29.0,8.0,6.0,58.0
2013-10-31,HPQ,19.0,23.0,6.0,5.0,27.0
2014-10-31,HPQ,19.0,20.0,8.0,9.0,35.0
2015-10-31,HPQ,16.0,19.0,8.0,9.0,18.0
2016-10-31,HPQ,64.0,19.0,7.0,5.0,33.0
2013-04-30,HRB,34.0,60.0,24.0,15.0,93.0
2014-04-30,HRB,31.0,61.0,27.0,16.0,118.0
2015-04-30,HRB,26.0,60.0,26.0,15.0,135.0
2013-10-27,HRL,16.0,16.0,9.0,6.0,55.0
2014-10-26,HRL,17.0,17.0,10.0,6.0,35.0
2015-10-31,HRL,17.0,20.0,12.0,7.0,29.0
2016-10-30,HRL,20.0,23.0,14.0,9.0,39.0
2013-06-28,HRS,7.0,34.0,16.0,2.0,25.0
2014-06-27,HRS,29.0,34.0,18.0,11.0,50.0
2015-07-03,HRS,10.0,34.0,14.0,7.0,21.0
2016-07-01,HRS,11.0,31.0,10.0,4.0,25.0
2012-12-29,HSIC,15.0,28.0,7.0,4.0,8.0
2013-12-28,HSIC,15.0,28.0,7.0,5.0,12.0
2014-12-27,HSIC,17.0,28.0,7.0,4.0,5.0
2015-12-26,HSIC,17.0,28.0,7.0,5.0,3.0
2012-12-31,HST,1.0,63.0,7.0,1.0,80.0
2013-12-31,HST,4.0,61.0,10.0,6.0,148.0
2014-12-31,HST,10.0,62.0,13.0,14.0,110.0
2015-12-31,HST,8.0,63.0,12.0,10.0,47.0
2012-12-31,HSY,64.0,43.0,17.0,10.0,50.0
2013-12-31,HSY,51.0,46.0,19.0,11.0,79.0
2014-12-31,HSY,58.0,45.0,19.0,11.0,24.0
2015-12-31,HSY,51.0,46.0,14.0,7.0,16.0
2013-12-31,HUM,13.0,21.0,5.0,3.0,74.4574898785425
2014-12-31,HUM,12.0,21.0,5.0,2.0,74.4574898785425
2015-12-31,HUM,12.0,18.0,4.0,2.0,74.4574898785425
2016-12-31,HUM,6.0,17.0,3.0,1.0,74.4574898785425
2012-12-31,IBM,88.0,49.0,22.0,16.0,26.0
2013-12-31,IBM,72.0,49.0,21.0,17.0,28.0
2014-12-31,IBM,101.0,50.0,20.0,13.0,21.0
2015-12-31,IBM,92.0,50.0,19.0,16.0,24.0
2012-12-31,IDXX,28.0,54.0,20.0,14.0,55.0
2013-12-31,IDXX,36.0,55.0,19.0,14.0,58.0
2014-12-31,IDXX,155.0,55.0,18.0,12.0,39.0
2015-12-31,IDXX,228.0,56.0,19.0,12.0,40.0
2012-12-31,IFF,20.0,42.0,17.0,9.0,52.0
2013-12-31,IFF,24.0,43.0,17.0,12.0,72.0
2014-12-31,IFF,27.0,44.0,19.0,13.0,92.0
2015-12-31,IFF,26.0,45.0,19.0,14.0,25.0
2014-12-28,ILMN,24.0,70.0,28.0,19.0,185.0
2016-01-03,ILMN,25.0,70.0,28.0,21.0,227.0
2017-01-01,ILMN,21.0,69.0,24.0,19.0,221.0
2013-12-28,INTC,17.0,60.0,23.0,18.0,148.0
2014-12-27,INTC,21.0,64.0,27.0,21.0,88.0
2015-12-26,INTC,19.0,63.0,25.0,21.0,162.0
2016-12-31,INTC,16.0,61.0,22.0,17.0,84.0
2013-07-31,INTU,24.0,87.0,31.0,22.0,130.0
2014-07-31,INTU,29.0,86.0,31.0,21.0,135.0
2015-07-31,INTU,16.0,83.0,18.0,9.0,97.0
2016-07-31,INTU,84.0,84.0,26.0,21.0,48.0
2012-12-31,IP,13.0,30.0,8.0,4.0,26.0
2013-12-31,IP,17.0,31.0,8.0,6.0,35.0
2014-12-31,IP,11.0,31.0,6.0,2.0,38.0
2015-12-31,IP,24.0,31.0,9.0,4.0,27.0
2012-12-31,IPG,18.0,100.0,10.0,6.0,34.0
2013-12-31,IPG,12.0,100.0,8.0,4.0,20.0
2014-12-31,IPG,23.0,100.0,10.0,6.0,22.0
2015-12-31,IPG,23.0,100.0,11.0,6.0,20.0
2012-12-31,IRM,15.0,57.0,18.0,6.0,31.0
2013-12-31,IRM,9.0,57.0,16.0,3.0,16.0
2014-12-31,IRM,38.0,57.0,18.0,10.0,19.0
2015-12-31,IRM,24.0,57.0,17.0,4.0,15.0
2014-12-31,ISRG,12.0,66.0,26.0,20.0,246.0
2013-12-31,ITW,17.0,39.0,18.0,12.0,60.0
2014-12-31,ITW,43.0,40.0,20.0,20.0,113.0
2015-12-31,ITW,36.0,41.0,21.0,14.0,130.0
2016-12-31,ITW,48.0,42.0,23.0,15.0,90.0
2012-12-31,IVZ,7.0,100.0,21.0,14.0,90.0
2013-12-31,IVZ,11.0,100.0,24.0,20.0,89.0
2014-12-31,IVZ,12.0,100.0,25.0,19.0,92.0
2015-12-31,IVZ,12.0,100.0,27.0,19.0,67.0
2012-12-31,JBHT,39.0,36.0,10.0,6.0,1.0
2013-12-31,JBHT,34.0,36.0,10.0,6.0,1.0
2014-12-31,JBHT,31.0,37.0,10.0,6.0,1.0
2015-12-31,JBHT,33.0,41.0,12.0,7.0,1.0
2013-09-27,JEC,10.0,16.0,6.0,4.0,67.0
2014-09-26,JEC,7.0,16.0,4.0,3.0,31.0
2015-10-02,JEC,7.0,16.0,4.0,3.0,23.0
2016-09-30,JEC,5.0,16.0,3.0,2.0,37.0
2012-12-31,JNPR,3.0,62.0,7.0,4.0,200.0
2013-12-31,JNPR,6.0,63.0,12.0,9.0,197.0
2014-12-31,JNPR,7.0,62.0,9.0,7.0,130.0
2015-12-31,JNPR,14.0,63.0,19.0,13.0,108.0
2012-12-31,JPM,10.0,100.0,31.0,23.0,74.4574898785425
2013-12-31,JPM,8.0,100.0,27.0,18.0,74.4574898785425
2014-12-31,JPM,9.0,100.0,33.0,24.0,74.4574898785425
2015-12-31,JPM,10.0,100.0,34.0,27.0,74.4574898785425
2013-02-02,JWN,38.0,39.0,11.0,6.0,58.0
2014-02-01,JWN,35.0,38.0,11.0,6.0,47.0
2015-01-31,JWN,30.0,38.0,10.0,5.0,30.0
2016-01-30,JWN,69.0,36.0,8.0,4.0,20.0
2012-12-29,K,40.0,38.0,11.0,7.0,6.0
2013-12-28,K,51.0,41.0,19.0,12.0,7.0
2015-01-03,K,23.0,35.0,7.0,4.0,10.0
2016-01-02,K,29.0,35.0,8.0,5.0,4.0
2013-09-30,KEY,14.0,17.0,2.0,3.0,74.4574898785425
2014-09-30,KEY,12.0,18.0,4.0,2.0,74.4574898785425
2015-09-30,KEY,55.0,17.0,3.0,21.0,74.4574898785425
2016-09-30,KEY,1.0,16.0,3.0,0.0,74.4574898785425
2012-12-31,KIM,6.0,74.0,29.0,34.0,74.4574898785425
2013-12-31,KIM,5.0,74.0,29.0,27.0,74.4574898785425
2014-12-31,KIM,9.0,74.0,31.0,43.0,74.4574898785425
2015-06-30,KLAC,87.0,57.0,24.0,13.0,238.0
2016-06-30,KLAC,102.0,61.0,32.0,24.0,249.0
2013-12-31,KMB,44.0,34.0,15.0,11.0,18.0
2014-12-31,KMB,209.0,34.0,13.0,8.0,13.0
2015-12-31,KMB,582.0,36.0,9.0,5.0,10.0
