year,symbol,change in 12 months
2013,AAL,7.170114494418637
2013,AAP,-1.9660702370691654
2013,AAPL,23.788938496837407
2013,ABC,-27.158683445902067
2013,ABT,-8.645550419892354
2013,ADBE,-24.89887582365456
2013,ADI,-17.163830258171373
2013,ADM,-50.94766642736441
2013,ADS,-44.745978578537375
2013,ADSK,-36.866081400866136
2013,AEE,-18.24864464105773
2013,AEP,-10.276019480235895
2013,AFL,-20.49399419786281
2013,AIG,-10.868433056103243
2013,AIV,-0.5783908953559767
2013,AIZ,-46.9292798925207
2013,AJG,-15.49411684209578
2013,AKAM,-28.711865313082768
2013,ALB,-13.434922732048918
2013,ALK,-25.24096863040755
2013,ALL,-17.142902702227524
2013,ALXN,-21.731495279101434
2013,AMAT,-37.946325942846535
2013,AME,-22.804812417702326
2013,AMG,-32.2330923458753
2013,AMGN,-14.992128055820828
2013,AMP,-50.715603626882995
2013,AMT,-0.31310521739754216
2013,AMZN,-14.67010961785077
2013,AN,-12.073659493801689
2013,ANTM,-42.474835855602436
2013,AON,-42.517242648945135
2013,APA,-1.2059609157867976
2013,APC,-2.106804643556377
2013,APD,-18.801030744945443
2013,APH,-37.65423271591966
2013,ARNC,-8.687250267898134
2013,ATVI,-31.022067332132163
2013,AVB,6.819738129010744
2013,AVGO,-5.634352143060899
2013,AVY,-12.734696300989027
2013,AWK,-4.759624700818711
2013,AXP,-37.506604872474064
2013,AYI,-33.58850812749019
2013,AZO,-28.612939912085682
2013,BA,-47.564098968745114
2013,BAC,-0.6007344609398879
2013,BAX,4.718185122940871
2013,BBBY,-24.170764893860085
2013,BBT,-19.54426012269593
2013,BBY,-80.94730838293427
2013,BCR,-31.044079600939508
2013,BDX,-23.728220097938223
2013,BHI,-19.69527891109639
2013,BIIB,-19.602970193433467
2013,BK,-25.264115287131844
2013,BLL,-19.542893062534095
2013,BMY,-51.853354650123094
2013,BSX,-51.10109987171036
2013,BWA,-24.325344518890812
2013,BXP,2.389697605548204
2013,C,-7.033701059898582
2013,CAG,-11.320191150483712
2013,CAH,-24.69328730157487
2013,CAT,-2.42631722397389
2013,CB,-16.558419948102184
2013,CBG,-16.31939634293595
2013,CCI,1.32307560301845
2013,CCL,-23.855076948523926
2013,CELG,-40.618311877356064
2013,CERN,-19.716973084458406
2013,CF,0.014592983864094689
2013,CHD,-15.788927256109508
2013,CHK,-31.0879259653898
2013,CHRW,-19.08083852754145
2013,CI,-37.56533606961455
