year,symbol,change in 12 months
2014,AAL,-51.006112577127865
2014,AAP,-1.7837854724333335
2014,AAPL,-14.230125896612291
2014,ABC,-7.449263246010628
2014,ABT,-8.739274936740253
2014,ADBE,-11.536554092357182
2014,ADI,-0.6548003923870638
2014,ADM,-4.498705493493968
2014,ADS,-3.173812335080382
2014,ADSK,-0.49410869298193494
2014,AEE,-21.356266295251128
2014,AEP,-21.026312432712757
2014,AFL,1.2754844357796218
2014,AIG,4.933339488100966
2014,AIV,-37.51176616084391
2014,AIZ,-9.883310189663458
2014,AJG,8.050763889138363
2014,AKAM,2.5319828835664833
2014,ALB,25.937548826527316
2014,ALK,-13.69649547137251
2014,ALL,-13.748583298390665
2014,ALXN,1.2866221829010995
2014,AMAT,-25.818601805933973
2014,AME,4.178677860812968
2014,AMG,21.341984901367304
2014,AMGN,-13.011010460344469
2014,AMP,-4.864094420732811
2014,AMT,-10.803220668187835
2014,AMZN,13.544438428049977
2014,AN,-10.544023420105221
2014,ANTM,-31.302494657525855
2014,AON,-11.516592178735165
2014,APA,16.92955200876947
2014,APC,-5.515293074964218
2014,APD,-11.091176829454424
2014,APH,-17.661788283541828
2014,ARNC,-19.60196974818994
2014,ATVI,42.104074093950196
2014,AVB,-31.557495330085214
2014,AVGO,-18.238640608750845
2014,AVY,-0.09444114490464095
2014,AWK,-19.287398413800894
2014,AXP,16.664979388508126
2014,AYI,-9.890806765944733
2014,AZO,-2.3439288070515065
2014,BA,22.226257865850503
2014,BAC,5.488597573060198
2014,BAX,8.749829286337587
2014,BBBY,-10.997175871163057
2014,BBT,-16.913544930354185
2014,BBY,-5.237631907096834
2014,BCR,-15.926357085259887
2014,BDX,-0.9947581280144338
2014,BHI,8.599219722477878
2014,BIIB,15.894321881387274
2014,BK,-12.52833853872855
2014,BLL,-21.530768763385236
2014,BMY,-9.092319158079329
2014,BSX,5.160235436671254
2014,BWA,15.08221650396664
2014,BXP,-20.84283105679249
2014,C,0.2573582200924156
2014,CAG,-24.20555752555057
2014,CAH,-9.486770311127337
2014,CAT,1.76604468949149
2014,CB,-8.428205415464696
2014,CBG,-11.00225815789749
2014,CCI,-0.955294465982116
2014,CCL,-2.460323119206815
2014,CELG,-11.05297844042989
2014,CERN,1.967123575607195
2014,CF,-18.90838905476355
2014,CHD,-11.229450683942488
2014,CHK,32.46280552845584
2014,CHRW,-14.224869422443449
2014,CI,-12.644848329805857
2014,CINF,1.8845240361029139
2014,CL,-10.46860190587858
2014,CLX,-9.395890727508426
2014,CMA,12.386853750255849
2014,CME,-22.157448417884925
2014,CMG,10.069592071452096
2014,CMI,19.408232391572557
2014,CMS,-22.59921666274943
2014,CNC,-35.202047458905675
2014,CNP,5.607429131279665
2014,COF,4.116824546258132
2014,COG,16.408247721206216
2014,COL,-4.0616428773795725
2014,COO,-13.493564939906273
2014,COST,-0.9048727633705036
2014,CPB,-12.933898808342448
2014,CRM,-7.035113785516871
2014,CSCO,-34.60712127950687
2014,CSX,-20.00439973209843
2014,CTAS,-6.767175363216051
2014,CTL,-0.9915307181583468
2014,CTSH,3.86676512438453
2014,CTXS,-10.117125210946133
2014,CVS,-15.689473737381771
2014,CVX,7.1396043405257865
2014,CXO,-11.81515533084512
2014,D,-18.40392536249742
2014,DAL,-6.806481916963629
2014,DD,-12.850137829477418
2014,DE,-8.084251066738782
2014,DFS,-1.41710229293324
2014,DG,-0.1286687479963119
2014,DGX,-9.218640759810238
2014,DHI,1.43319981782924
2014,DHR,2.392235404587338
2014,DIS,7.868690312921626
2014,DISCA,5.436100328950749
2014,DISCK,3.779576243663895
2014,DLR,-19.456772307530613
2014,DLTR,4.19621853899254
2014,DNB,12.67115437566199
2014,DOV,12.551920320052739
2014,DPS,-22.59336310154839
2014,DRI,-7.696447146616162
2014,DUK,-21.665090956815728
2014,DVA,-4.622970950911688
2014,DVN,8.004361000325684
2014,EA,-56.500479187832646
2014,EBAY,3.302650188912859
2014,ECL,2.2507132774019896
2014,ED,-14.045389945573385
2014,EFX,-18.724728148625495
2014,EIX,-32.549914580479864
2014,EL,9.033948912757202
2014,EMN,13.522062156277027
2014,EMR,15.897813768340281
2014,EOG,7.194877211203125
2014,EQIX,-15.21694927640567
2014,EQR,-29.789234187094284
2014,EQT,9.436782776480062
2014,ES,-22.98223235715927
2014,ESS,-32.30628535521013
2014,ETFC,0.136671590289946
2014,ETN,15.364333223856669
2014,ETR,-34.198645184776964
2014,EW,-19.15873715996277
2014,EXC,-36.69037655132336
2014,EXPD,-2.2343882569192766
2014,EXPE,1.6428497262900865
2014,EXR,-17.229873769651384
2014,F,21.197796900669314
2014,FAST,1.2579160945835137
2014,FCX,39.22581733556162
2014,FDX,-3.00598750375238
2014,FE,-29.303294650953266
2014,FFIV,-7.042102111907928
2014,FIS,-9.22224341812288
2014,FISV,-18.54292485957779
2014,FL,-1.1185372160881317
2014,FLIR,-4.35790583239312
2014,FLR,35.10687333765882
2014,FLS,22.181900504992683
2014,FMC,41.01556574152255
2014,FRT,-22.057552094009033
2014,FSLR,10.624171342786086
2014,FTR,-12.25960265761495
2014,GD,-31.96328779894341
2014,GGP,-28.971103409609043
2014,GILD,40.38992875335396
2014,GIS,-22.012098838249063
2014,GLW,-43.30503277833784
2014,GPC,-14.859165918157263
2014,GPN,-4.161246973666859
2014,GPS,-3.660712471038505
2014,GRMN,6.659075379460253
2014,GT,2.5226620481634416
2014,GWW,-5.394166549403237
2014,HAL,40.05704102963843
2014,HAR,12.022774568721516
2014,HAS,-15.584146745712061
