year,symbol,PE
2014-01-01,AAL,9.822139552238806
2014-01-01,AAPL,14.807616200739599
2014-01-01,ABC,66.26229549180329
2014-01-01,ABT,27.930000333333336
2014-01-01,ADBE,122.64815092592592
2014-01-01,ADI,150.65714142857146
2014-01-01,ADM,13.970930668604652
2014-01-01,ADS,31.528096674311925
2014-01-01,ADSK,54.00000196078431
2014-01-01,AEE,17.21487582644628
2014-01-01,AEP,16.2874251497006
2014-01-01,AFL,9.838684862385321
2014-01-01,AIG,10.20303614800759
2014-01-01,AIV,15.529126699029126
2014-01-01,AIZ,10.408742561349694
2014-01-01,AJG,23.893939141414144
2014-01-01,AKAM,29.82887647058823
2014-01-01,ALB,36.77514763313609
2014-01-01,ALK,10.841722483221478
2014-01-01,ALL,9.831240502354788
2014-01-01,ALXN,47.93222966867471
2014-01-01,AMAT,24.431818181818187
2014-01-01,AME,22.169456276150626
2014-01-01,AMG,26.190388807785883
2014-01-01,AMGN,20.29632345588235
2014-01-01,AMP,14.760354852071007
2014-01-01,AMT,44.571782178217816
2014-01-01,AMZN,-683.028823076923
2014-01-01,AN,15.488795658263307
2014-01-01,ANTM,11.828678839957036
2014-01-01,AON,18.996828646934457
2014-01-01,APA,-5.268492247510668
2014-01-01,APC,-23.246397982708935
2014-01-01,APD,25.532708746030043
2014-01-01,APH,21.91924789823009
2014-01-01,ARNC,47.08363675307143
2014-01-01,ATVI,16.741228070175442
2014-01-01,AVB,27.29980795019157
2014-01-01,AWK,20.453389194915257
2014-01-01,AYI,30.803440417690414
2014-01-01,AZO,17.16666671330846
2014-01-01,BA,17.95582295850067
2014-01-01,BAC,47.05555694444445
2014-01-01,BAX,8.449382998253796
2014-01-01,BBBY,16.130927938144335
2014-01-01,BBT,13.71326164874552
2014-01-01,BBY,25.349358974358974
2014-01-01,BCR,39.57571723237598
2014-01-01,BDX,20.443719412724306
2014-01-01,BHI,14.089058269720102
2014-01-01,BIIB,25.095008655394523
2014-01-01,BK,17.419354377880186
2014-01-01,BLL,17.81858377581121
2014-01-01,BMY,46.206611157024795
2014-01-01,BSX,-141.05555555555557
2014-01-01,BWA,19.26643598615917
2014-01-01,BXP,40.952298233215544
2014-01-01,C,24.20361990950226
2014-01-01,CAG,38.164720600972224
2014-01-01,CAH,21.72514605263158
2014-01-01,CAT,15.300501085141903
2014-01-01,CB,12.892941235294117
2014-01-01,CBG,20.833333333333332
2014-01-01,CCI,73.23557740384615
2014-01-01,CCL,26.85534496855346
2014-01-01,CELG,39.958834437751
2014-01-01,CF,1.863365217231222
2014-01-01,CHD,11.915033006535946
2014-01-01,CHK,11.67622240650259
2014-01-01,CHRW,21.936274509803923
2014-01-01,CI,12.011919761606023
2014-01-01,CINF,16.305296105919005
2014-01-01,CL,28.35714180672269
2014-01-01,CLX,23.02552238979119
2014-01-01,CMA,14.391768292682928
2014-01-01,CME,24.93323367952522
2014-01-01,CMG,42.353658118466896
2014-01-01,CMI,15.85121664823009
2014-01-01,CMS,17.670454829545456
2014-01-01,CNC,17.879347608695657
2014-01-01,CNP,16.56338063380282
2014-01-01,COF,10.40466945525292
2014-01-01,COG,136.0
2014-01-01,COL,17.863534340044744
2014-01-01,COO,25.626559625668445
2014-01-01,COST,27.953092110874195
2014-01-01,CPB,16.796934865900386
2014-01-01,CRM,-146.9102564102564
2014-01-01,CSCO,16.816667
2014-01-01,CSX,16.875647668393782
2014-01-01,CTAS,22.47727256493506
2014-01-01,CTL,26.4044125
2014-01-01,CTSH,21.90611793248945
2014-01-01,CTXS,43.48986587837838
2014-01-01,CVS,21.22361846733668
2014-01-01,CVX,11.562683692458373
2014-01-01,CXO,20.934560838445808
