date,change,stability
2014-01-02,0.6248367293201351,1
2014-01-03,-0.013162855000659177,2
2014-01-06,0.7081683923599559,1
2014-01-07,-0.3913603675395853,2
2014-01-08,-0.10975292450151276,2
2014-01-09,0.10125929565324504,1
2014-01-10,-0.2552879057373137,2
2014-01-13,1.2493239634332216,1
2014-01-14,-0.8465549412881058,2
2014-01-15,-0.209480473244066,2
2014-01-16,-0.12290323320504401,2
2014-01-17,0.3845057294232981,1
2014-01-21,0.2090928778550801,1
2014-01-22,-0.0963632320723806,2
2014-01-23,0.4504611918665782,1
2014-01-24,1.595439109742664,1
2014-01-27,0.6062411129016753,1
2014-01-28,-0.7404504279230749,2
2014-01-29,0.13230505461036274,1
2014-01-30,-0.48410654025783,2
2014-01-31,-0.7327255564766303,2
2014-02-03,2.4964950285285203,1
2014-02-04,-0.3010598272143632,2
2014-02-05,-0.2440174613482416,2
2014-02-06,-1.126174941546341,2
2014-02-07,-0.7961765571637422,2
2014-02-10,-0.2017443332173891,2
2014-02-11,-0.9562923933658241,2
2014-02-12,0.0901316924006663,1
2014-02-13,-1.290689049890407,2
2014-02-14,-0.5999885823698604,2
2014-02-18,-0.1602860480045651,2
2014-02-19,0.2606606312619694,1
2014-02-20,-0.6092581622217419,2
2014-02-21,0.13431903348398908,1
2014-02-24,-0.452769136319478,2
2014-02-25,0.1253476760306599,1
2014-02-26,0.02339614637666468,1
2014-02-27,-0.4958539604198346,2
2014-02-28,-0.25179165075105703,2
2014-03-03,-0.25363536347115395,2
2014-03-04,-0.5165729915267535,2
2014-03-05,0.08804983712324534,1
2014-03-06,0.0643553970680288,1
2014-03-07,0.280847815270533,1
2014-03-10,0.06429322814372973,1
2014-03-11,0.6441018325091087,1
2014-03-12,-0.6171616526066237,2
2014-03-13,1.4060787079504695,1
2014-03-14,-0.15718103758277432,2
2014-03-17,-0.29968459693966665,2
2014-03-18,-0.602863860537818,2
2014-03-19,0.6364538615254377,1
2014-03-20,-0.6938602968840759,2
2014-03-21,0.9623135693706222,1
2014-03-24,0.9117882000961446,1
2014-03-25,0.2178699467784116,1
2014-03-26,1.2639861238368326,1
2014-03-27,0.0960561894877096,1
2014-03-28,-0.3370766571989126,2
2014-03-31,-0.38700930763835,2
2014-04-01,-0.5019401391928227,2
2014-04-02,-0.2988732301025887,2
2014-04-03,0.32125858245121874,1
2014-04-04,1.810812242961471,1
2014-04-07,1.1543115968755082,1
2014-04-08,-0.5341807498076574,2
2014-04-09,-0.7553283324162233,2
2014-04-10,2.1436960954282416,1
2014-04-11,0.4812581554750449,1
2014-04-14,0.02905369950206457,1
2014-04-15,-0.4445644055705416,2
2014-04-16,-0.4256261573200269,2
2014-04-17,-0.23800598603199025,2
2014-04-21,-0.18381696140581774,2
2014-04-22,-0.3770602779027053,2
2014-04-23,0.1211392208367916,1
2014-04-24,0.4004458981939653,1
2014-04-25,0.7171965245263721,1
2014-04-28,0.4633650291380865,1
2014-04-29,-0.1812947368321934,2
2014-04-30,-0.5982187806900772,2
2014-05-01,-0.05346392191256233,2
2014-05-02,0.07563713579335446,1
2014-05-05,-0.6402463681357872,2
2014-05-06,0.6291481558195771,1
2014-05-07,-0.3175475059309293,2
2014-05-08,-0.0265553641562645,2
2014-05-09,-0.23696326753258026,2
2014-05-12,-0.7485398832079945,2
2014-05-13,0.19465031527177487,1
2014-05-14,0.5235136828752952,1
2014-05-15,0.6322765891437591,1
2014-05-16,-0.3920293817276075,2
2014-05-19,-0.6249043126825955,2
2014-05-20,0.6633342035224938,1
2014-05-21,-0.3834786093544569,2
2014-05-22,-0.334189466454599,2
2014-05-23,-0.4019617578216728,2
2014-05-27,-0.21248689488939376,2
2014-05-28,0.09502588434038227,1
2014-05-29,-0.28122898249548345,2
2014-05-30,-0.2048058318527516,2
2014-06-02,-0.11199117323861817,2
2014-06-03,-0.2798765530229725,2
2014-06-04,-0.4849648589255958,2
2014-06-05,-0.5537512955266439,2
2014-06-06,-0.3144351781747642,2
2014-06-09,-0.08516353074655279,2
2014-06-10,0.015890012409164548,1
2014-06-11,0.03164334433714281,1
2014-06-12,0.524623393587088,1
2014-06-13,-0.20013188502623547,2
2014-06-16,-0.19679361801002768,2
2014-06-17,-0.5578509380885384,2
2014-06-18,-0.7239168889411861,2
2014-06-19,0.0404000395868289,1
2014-06-20,-0.02585491952763878,2
2014-06-23,0.117846782999771,1
2014-06-24,0.5079629232566586,1
2014-06-25,-0.6191775881176823,2
2014-06-26,0.14605800666859756,1
2014-06-27,-0.4704941584390393,2
2014-06-30,-0.09962625346383623,2
2014-07-01,-0.3848853161900705,2
2014-07-02,0.05097769097075933,1
2014-07-03,-0.31087391299971523,2
2014-07-07,0.2960203898435197,1
2014-07-08,0.3799528005250868,1
2014-07-09,-0.21311111687697876,2
2014-07-10,-0.6140983725749913,2
2014-07-11,-0.14033568449209402,2
2014-07-14,0.2192308852392609,1
2014-07-15,0.16490089507987055,1
2014-07-16,0.15220330636629487,1
2014-07-17,0.7612166030084341,1
2014-07-18,-0.7222559591291234,2
2014-07-21,-0.06016145758653304,2
2014-07-22,-0.132555764827891,2
2014-07-23,0.025707745813726927,1
2014-07-24,-0.009213335631155029,0
2014-07-25,0.1649344838941498,1
2014-07-28,0.017106166025976078,1
2014-07-29,0.6866543659550898,1
2014-07-30,0.40708816723579294,1
2014-07-31,1.1934212058561655,1
2014-08-01,-0.006456309447421134,0
2014-08-04,-0.4964623824362937,2
2014-08-05,0.4278339350453904,1
2014-08-06,-0.4569751589351712,2
2014-08-07,0.9787015433412792,1
2014-08-08,-1.1208351494078614,2
2014-08-11,0.065831778622222,1
2014-08-12,0.04875067503862083,1
2014-08-13,-0.4275385634041301,2
2014-08-14,-0.33306462253068203,2
2014-08-15,0.4661872087229227,1
2014-08-18,-0.3881312031551738,2
2014-08-19,-0.28413594270256004,2
2014-08-20,-0.4914797704880775,2
2014-08-21,-0.09455091085906707,2
2014-08-22,0.13923741463562028,1
2014-08-25,0.014013936322338548,1
2014-08-26,0.0636829492032332,1
2014-08-27,0.07925474892829205,1
2014-08-28,-0.3198479797393876,2
2014-08-29,-0.12260607968524265,2
2014-09-02,0.1063209216075817,1
2014-09-03,0.3256422444576708,1
2014-09-04,0.22597779329579795,1
2014-09-05,-0.5772692995460526,2
2014-09-08,0.12221625523642815,1
2014-09-09,0.6071330248423932,1
2014-09-10,-0.15300345851039826,2
2014-09-11,-0.4783931009454164,2
2014-09-12,0.6568926796503807,1
2014-09-15,0.22288100590005933,1
2014-09-16,-0.897314200507956,2
2014-09-17,0.10099123552544556,1
2014-09-18,-0.09782122066009287,2
