date,change,stability
2013-01-02,-0.5150692478780327,2
2013-01-03,-0.10950364571336613,2
2013-01-04,-0.5670163813540327,2
2013-01-07,-0.08555387572158879,2
2013-01-08,0.10643010767876727,1
2013-01-09,-0.16768537807384465,2
2013-01-10,-0.09004049517857687,2
2013-01-11,0.05220388861270756,1
2013-01-14,-0.10497926573549744,2
2013-01-15,-0.8102780195040913,2
2013-01-16,-0.15727836984102214,2
2013-01-17,-0.42808869878794775,2
2013-01-18,-0.21898600716094616,2
2013-01-22,-0.7138522578289926,2
2013-01-23,-0.07060063648966299,2
2013-01-24,-0.3691388358354861,2
2013-01-25,-0.4352656685194981,2
2013-01-28,0.3960299646543956,1
2013-01-29,-0.4295782065229335,2
2013-01-30,0.3211151481219584,1
2013-01-31,-0.14067532415432674,2
2013-02-01,-0.22192424533668384,2
2013-02-04,0.4619321627649714,1
2013-02-05,-0.44175644932457336,2
2013-02-06,-0.6820292072093126,2
2013-02-07,0.19596571726711975,1
2013-02-08,-0.4271006279479467,2
2013-02-11,0.050982761285341634,1
2013-02-12,-0.172282638377994,2
2013-02-13,0.00675908790529298,0
2013-02-14,-0.3430973888390352,2
2013-02-15,0.09592363331859384,1
2013-02-19,-0.5742283915228226,2
2013-02-20,1.4020813871576432,1
2013-02-21,0.5494313457919507,1
2013-02-22,-0.5578117864445766,2
2013-02-25,2.3109782220312147,1
2013-02-26,-0.17531427559400314,2
2013-02-27,-1.4766289081584194,2
2013-02-28,-0.04380258746847253,2
2013-03-01,-0.6347546957404425,2
2013-03-04,-0.7336838880814704,2
2013-03-05,-0.5422066125466588,2
2013-03-06,0.20691828092254613,1
2013-03-07,-0.04343124060152418,2
2013-03-08,-0.18316070265248732,2
2013-03-11,-0.44223266111342496,2
2013-03-12,0.10788118785454827,1
2013-03-13,-0.37145027784167617,2
2013-03-14,-0.34195501789559263,2
2013-03-15,-0.03026236032222853,2
2013-03-18,-0.39927852203994413,2
2013-03-19,0.5496110337508177,1
2013-03-20,-0.2927748974941561,2
2013-03-21,0.3434115187682161,1
2013-03-22,-0.2361483837131743,2
2013-03-25,0.6635899778209499,1
