year,symbol,PE
2015-01-01,AAL,4.250219490781387
2015-01-01,AAP,23.119259333333336
2015-01-01,AAPL,11.767241433189657
2015-01-01,ABC,-157.3225822580645
2015-01-01,ABT,15.367347108843537
2015-01-01,ADBE,66.57539563492062
2015-01-01,ADI,180.85484032258063
2015-01-01,ADM,14.856187290969899
2015-01-01,ADS,31.652076767676764
2015-01-01,ADSK,169.7083361111111
2015-01-01,AEE,17.35384653846154
2015-01-01,AFL,10.344387925170068
2015-01-01,AIG,35.15680414201183
2015-01-01,AIV,25.575657894736842
2015-01-01,AIZ,35.963940625
2015-01-01,AJG,21.364734541062802
2015-01-01,AKAM,32.31111111111111
2015-01-01,ALB,19.340531561461795
2015-01-01,ALK,10.706505370650529
2015-01-01,ALL,13.008788574218748
2015-01-01,ALXN,277.0735235294117
2015-01-01,AMAT,19.43805353982301
2015-01-01,AME,21.680893902439024
2015-01-01,AMG,19.67334004214963
2015-01-01,AMGN,17.61256819672131
2015-01-01,AMP,13.923255581395349
2015-01-01,AMT,69.40845176056338
2015-01-01,AMZN,390.1015640625
2015-01-01,AN,15.333333460559794
2015-01-01,ANTM,13.708632939362793
2015-01-01,AON,19.127788945233267
2015-01-01,APA,-0.8715686274509804
2015-01-01,APC,-4.900986418816388
2015-01-01,APD,21.36521482605042
2015-01-01,APH,21.62753036437247
2015-01-01,ARNC,-31.12156018758064
2015-01-01,ATVI,24.578513223140497
2015-01-01,AVB,31.53700297833935
2015-01-01,AVY,21.760377735849058
2015-01-01,AWK,21.36842105263158
2015-01-01,AYI,36.69298255360624
2015-01-01,AZO,18.661044069640912
2015-01-01,BA,18.419548803191493
2015-01-01,BAX,21.866208954747187
2015-01-01,BBBY,12.37329434697856
2015-01-01,BBT,14.853281467181468
2015-01-01,BBY,9.858356657223796
2015-01-01,BCR,99.18888944444446
2015-01-01,BDX,43.00291545189504
2015-01-01,BHI,-11.275055679287304
2015-01-01,BIIB,21.09687912873862
2015-01-01,BK,14.96703315018315
2015-01-01,BLL,34.509755365853664
2015-01-01,BMY,68.37766117021278
2015-01-01,BSX,-88.25
2015-01-01,BWA,18.187500551470585
2015-01-01,BXP,34.06992084432718
2015-01-01,C,9.836414140480592
2015-01-01,CAG,-50.94033592741667
2015-01-01,CAH,23.3060106557377
2015-01-01,CAT,22.62994265536723
2015-01-01,CB,13.380596785304245
2015-01-01,CBG,21.06707256097561
2015-01-01,CCI,18.664414189189188
2015-01-01,CCL,22.31194668141593
2015-01-01,CELG,57.616335643564355
2015-01-01,CERN,40.72402467532467
2015-01-01,CF,16.093602794612792
2015-01-01,CHD,13.151757507987222
2015-01-01,CHK,-0.5305394560855997
2015-01-01,CHRW,19.471590624999997
2015-01-01,CI,15.304161077111385
2015-01-01,CINF,14.481912144702843
2015-01-01,CL,44.568626470588235
2015-01-01,CLX,26.052809325842695
2015-01-01,CMA,15.124573549488053
2015-01-01,CME,24.28301886792453
2015-01-01,CMG,38.20620866013072
2015-01-01,CMI,14.889949045801526
2015-01-01,CMS,18.807895263157896
2015-01-01,CNC,19.921404849498327
2015-01-01,CNP,-12.962733540372671
2015-01-01,COF,10.874125874125873
2015-01-01,COG,-83.14285535714286
2015-01-01,COL,17.103082755298647
2015-01-01,COST,28.09149695009242
2015-01-01,CPB,21.97963733031674
2015-01-01,CRM,-165.34523809523807
2015-01-01,CSCO,15.693181818181818
2015-01-01,CSX,15.40250025
2015-01-01,CTAS,23.228261820652175
2015-01-01,CTL,20.61075981012658
2015-01-01,CTSH,21.252808426966293
2015-01-01,CTXS,34.98756243781095
2015-01-01,CVS,20.937768240343345
2015-01-01,CVX,40.85568983739837
2015-01-01,CXO,176.82407500000002
2015-01-01,D,22.713395638629283
2015-01-01,DAL,8.88380264084507
2015-01-01,DD,31.641348799562216
2015-01-01,DFS,11.676069844357977
2015-01-01,DG,20.391428285714287
2015-01-01,DGX,14.207317378048781
2015-01-01,DHI,14.097560975609756
2015-01-01,DHR,14.100646240239087
2015-01-01,DIS,20.30808111111111
2015-01-01,DLR,45.89743461538461
2015-01-01,DLTR,25.493127491408934
2015-01-01,DNB,24.278846153846157
2015-01-01,DOV,12.084239039855074
2015-01-01,DPS,20.761250500000003
2015-01-01,DRI,11.072841456834533
2015-01-01,DUK,19.219753086419754
2015-01-01,DVA,57.34645511811023
2015-01-01,DVN,-1.2886076090014067
2015-01-01,EA,20.752669217081852
2015-01-01,EBAY,17.95767635916084
2015-01-01,ECL,32.50443831360947
2015-01-01,ED,16.12899262899263
2015-01-01,EFX,26.851800969529087
2015-01-01,EIX,19.98242875399361
2015-01-01,EL,28.775262369337977
2015-01-01,EMN,12.563922591943959
2015-01-01,EMR,13.730673192019951
2015-01-01,EOG,-9.717732388419783
2015-01-01,EQIX,81.6923053846154
2015-01-01,EQR,32.497890506329114
2015-01-01,EQT,113.91071607142857
2015-01-01,ES,19.02888050541516
2015-01-01,ESS,64.45428685714286
2015-01-01,ETFC,29.429347282608695
2015-01-01,ETN,14.211764588235294
2015-01-01,ETR,-79.0858606060606
2015-01-01,EW,31.06630413043478
2015-01-01,EXPD,18.702479545454544
2015-01-01,EXPE,17.978705281090292
2015-01-01,EXR,46.892405063291136
2015-01-01,F,7.991935483870967
2015-01-01,FAST,25.21468870056497
2015-01-01,FCX,-1.328028293545535
2015-01-01,FDX,43.520270675675675
2015-01-01,FE,26.04014525547445
2015-01-01,FFIV,22.62031587771203
2015-01-01,FIS,27.725225675675674
2015-01-01,FISV,27.018091611842102
2015-01-01,FL,16.78393351800554
2015-01-01,FLIR,17.546242485549133
2015-01-01,FLR,18.992982280701753
2015-01-01,FLS,25.534826368159205
2015-01-01,FMC,13.192623497267759
2015-01-01,FRT,46.457235361842095
2015-01-01,FSLR,10.261070387453875
2015-01-01,FTR,-19.63793103448276
2015-01-01,GD,15.003792036836403
2015-01-01,GILD,7.983023443815684
2015-01-01,GIS,27.51732623762376
2015-01-01,GLW,20.284314215686273
2015-01-01,GPC,20.82903225806451
2015-01-01,GPN,12.745783734939758
2015-01-01,GPS,11.646551551724139
2015-01-01,GRMN,18.824267782426777
2015-01-01,GT,27.100876754385965
2015-01-01,GWW,19.66980282292558
2015-01-01,HAL,-46.27848037974684
2015-01-01,HAS,17.011080886426594
2015-01-01,HBAN,13.22560975609756
2015-01-01,HBI,7.11131828358209
