year,symbol,PE,PEG
2015,AAL,4.250219490781387,0.0231830154042621
2015,AAPL,11.767241433189657,0.27372543692258383
2015,ABC,-157.3225822580645,1.0431171214936885
2015,ABT,15.367347108843537,0.16007653238378686
2015,ADBE,66.57539563492062,0.49931546726190473
2015,ADI,180.85484032258063,-15.824798528225815
2015,ADM,14.856187290969899,-1.1356729840208108
2015,ADS,31.652076767676764,14.526637337586383
2015,ADSK,169.7083361111111,-2.6227651944444443
2015,AEE,17.35384653846154,2.333128256837608
2015,AFL,10.344387925170068,-1.0250348034941243
2015,AIG,35.15680414201183,-0.5175317257776602
2015,AIV,25.575657894736842,-0.9756639863547758
2015,AIZ,35.963940625,-0.5281191280968469
2015,AJG,21.364734541062802,4.700241599033821
2015,AKAM,32.31111111111111,-8.631682539682531
2015,ALB,19.340531561461795,0.24761741165810933
2015,ALK,10.706505370650529,0.2236358832093825
2015,ALL,13.008788574218748,-0.6629278657421875
2015,ALXN,277.0735235294117,-3.4844094625668447
2015,AMAT,19.43805353982301,0.6842194846017703
2015,AME,21.680893902439024,7.402476632404204
2015,AMG,19.67334004214963,1.273345316113937
2015,AMGN,17.61256819672131,0.509640271224276
2015,AMP,13.923255581395349,7.84343397751934
2015,AMT,69.40845176056338,-2.3367512092723
2015,AMZN,390.1015640625,-1.1269600739583332
2015,AN,15.333333460559794,1.5205555681721783
2015,ANTM,13.708632939362793,3.0387469682254267
2015,AON,19.127788945233267,4.523722085547687
2015,APA,-0.8715686274509804,-0.0025995449516251134
2015,APC,-4.900986418816388,-0.01751433869546125
2015,APD,21.36521482605042,0.771797682863527
2015,APH,21.62753036437247,2.3275342201657927
2015,ARNC,-31.12156018758064,0.1256832238344603
2015,ATVI,24.578513223140497,4.002786439197169
2015,AVB,31.53700297833935,5.1444736108416
2015,AWK,21.36842105263158,1.6809824561403495
2015,AYI,36.69298255360624,1.4088720659733727
2015,AZO,18.661044069640912,1.3046503853905465
2015,BA,18.419548803191493,27.518805911967746
2015,BAX,21.866208954747187,-0.35619513526991003
2015,BBBY,12.37329434697856,2.1432313422445
2015,BBT,14.853281467181468,-2.0720327646718144
2015,BBY,9.858356657223796,0.07806617454451331
2015,BCR,99.18888944444446,-1.8713962885331148
2015,BDX,43.00291545189504,-0.9763254508152467
2015,BHI,-11.275055679287304,0.05262585370498706
2015,BIIB,21.09687912873862,0.885213644523424
2015,BK,14.96703315018315,0.5799725345695971
2015,BLL,34.509755365853664,-0.8730453036585366
2015,BMY,68.37766117021278,-3.0643322228132384
2015,BSX,-88.25,-0.8825
2015,BWA,18.187500551470585,-3.091875093749999
2015,BXP,34.06992084432718,1.0043528748900616
2015,C,9.836414140480592,0.06793273515769407
2015,CAG,-50.94033592741667,0.2778563777859091
2015,CAH,23.3060106557377,3.3211065184426225
2015,CAT,22.62994265536723,-0.553279006145509
2015,CB,13.380596785304245,5.415955841670727
2015,CBG,21.06707256097561,1.8216821567431867
2015,CCI,18.664414189189188,0.057091149284578695
2015,CCL,22.31194668141593,0.529492466021662
2015,CELG,57.616335643564355,-3.052439909627133
2015,CF,16.093602794612792,-0.1806954327828373
2015,CHD,13.151757507987222,5.749196853491577
2015,CHK,-0.5305394560855997,0.0004203370895916286
2015,CHRW,19.471590624999997,1.2952840720108703
2015,CI,15.304161077111385,6.0987081892288915
2015,CINF,14.481912144702843,0.7043475452196383
2015,CL,44.568626470588235,-1.2479215411764708
2015,CLX,26.052809325842695,8.020543442455837
2015,CMA,15.124573549488053,-1.4173886069234536
2015,CME,24.28301886792453,2.4068756936736975
2015,CMG,38.20620866013072,5.7711483607671035
2015,CMI,14.889949045801526,-1.1407215201190328
2015,CMS,18.807895263157896,2.3644211187969915
2015,CNC,19.921404849498327,0.6640468283166102
2015,CNP,-12.962733540372671,0.0607494443146178
2015,COF,10.874125874125873,-1.4971341158841165
2015,COG,-83.14285535714286,0.3921832799865229
2015,COL,17.103082755298647,1.0618163877247895
2015,COST,28.09149695009242,1.8298488985546328
2015,CPB,21.97963733031674,-1.4341713358031678
2015,CRM,-165.34523809523807,-21.494880952380964
2015,CSCO,15.693181818181818,0.9053758741258741
2015,CSX,15.40250025,4.246689354642842
2015,CTAS,23.228261820652175,1.1923841067934786
2015,CTL,20.61075981012658,1.2741196973532805
2015,CTSH,21.252808426966293,1.6789718657303372
2015,CTXS,34.98756243781095,0.9770111775086836
2015,CVS,20.937768240343345,1.2254752587730364
2015,CVX,40.85568983739837,-0.5382407654707578
2015,CXO,176.82407500000002,-1.9877464982758624
2015,D,22.713395638629283,0.5323452102803737
2015,DAL,8.88380264084507,0.014352155595639278
2015,DD,31.641348799562216,-0.702153526731858
2015,DFS,11.676069844357977,2.492587084165118
2015,DG,20.391428285714287,1.958812959567099
2015,DGX,14.207317378048781,0.49921124365070496
2015,DHI,14.097560975609756,0.4611077235772359
2015,DHR,14.100646240239087,0.47002154134130314
2015,DIS,20.30808111111111,1.367622337326387
2015,DLR,45.89743461538461,0.8195970467032965
2015,DLTR,25.493127491408934,4.108892313321213
2015,DNB,24.278846153846157,-0.5789571005917159
2015,DOV,12.084239039855074,0.6458817417853576
2015,DPS,20.761250500000003,1.817875348658536
2015,DRI,11.072841456834533,0.07141655140798604
2015,DUK,19.219753086419754,0.3678024691358025
2015,DVA,57.34645511811023,-0.9137916446390462
2015,DVN,-1.2886076090014067,0.0012827324983220691
2015,EA,20.752669217081852,0.002239496678102358
2015,EBAY,17.95767635916084,0.005167676650118227
2015,ECL,32.50443831360947,-2.068933295834508
