year,symbol,change in 12 months
2011,AAL,105.28662269994935
2011,AAP,-17.256654713768476
2011,AAPL,1.450223447174863
2011,ABC,-9.437828500976734
2011,ABT,-6.784372320696854
2011,ADBE,-16.081756387809897
2011,ADI,6.381454011966325
2011,ADM,24.891663836035676
2011,ADS,-23.13927027005894
2011,ADSK,10.76058097268833
2011,AEE,-13.244015148172778
2011,AEP,9.846927993426453
2011,AFL,21.78494061433143
2011,AIG,76.73878492429553
2011,AIV,8.043781412839193
2011,AIZ,-9.200463059999114
2011,AJG,-15.314882632886327
2011,AKAM,14.474250027161263
2011,ALB,13.757947646923983
2011,ALK,-31.878261559524315
2011,ALL,4.4072166430418065
2011,ALXN,-45.63718884502518
2011,AMAT,16.29285734267162
2011,AME,-19.43596147740816
2011,AMG,-4.273099064912291
2011,AMGN,-30.503514162249385
2011,AMP,14.77198222766561
2011,AMT,-31.59738861291242
2011,AMZN,-5.026750640163552
2011,AN,-17.78136406510402
2011,ANTM,-19.713358056306717
2011,AON,-15.119963979241405
2011,APA,36.6831746379537
2011,APC,1.8100995667049284
2011,APD,18.36582867672149
2011,APH,3.302387199723636
2011,ARNC,74.8796220906292
2011,ATVI,-12.65385026674083
2011,AVB,-19.71884936833918
2011,AVGO,8.456405614582899
2011,AVY,22.277969530378304
2011,AWK,2.786457125513153
2011,AXP,-12.065442601388353
2011,AYI,5.5178332323044454
2011,AZO,-8.496538817621397
2011,BA,13.723347614159096
2011,BAC,135.262041387439
2011,BAX,-1.7004540074360581
2011,BBBY,-7.941030953125672
2011,BBT,4.474507541166589
2011,BBY,35.95441759223074
2011,BCR,-19.326423704362398
2011,BDX,-3.4997656340890813
2011,BHI,28.242953307208705
2011,BIIB,-28.642662885688942
2011,BK,43.810346650643815
2011,BLL,-4.563968555659188
2011,BMY,-31.049819703471083
2011,BSX,48.516898189830236
2011,BWA,-4.1655488851805815
2011,BXP,-18.733359943031285
2011,C,75.70065311045686
2011,CAG,-15.68572433524866
2011,CAH,-9.734938789823774
2011,CAT,37.07222674849376
2011,CB,-23.081990798545082
2011,CBG,22.06495942713062
2011,CCI,-7.946140774489001
2011,CCL,23.667393133567437
2011,CELG,-16.386690580371006
2011,CERN,-22.242589905278415
2011,CF,17.116648528459887
2011,CHD,-31.6774543134211
2011,CHK,52.307369936118974
2011,CHRW,2.0491495381744684
2011,CI,-10.084682461778097
2011,CINF,9.656457521645004
2011,CL,-28.81920618245374
2011,CLX,-18.960528735020503
2011,CMA,35.26397753668154
2011,CME,25.94396134000858
2011,CMG,-54.38953248964183
2011,CMI,51.12024665300873
2011,CMS,-2.0708523884080687
2011,CNC,-31.703794243220774
2011,CNP,-18.609935756666715
2011,COF,14.496329645941696
2011,COG,-43.1573091354762
2011,COL,-5.966762297310049
2011,COO,-8.927977305736272
2011,COST,-20.820135135202584
2011,CPB,-4.971038849667554
2011,CRM,19.19443529086922
2011,CSCO,5.412349967607876
2011,CSX,17.504144117747042
2011,CTAS,4.330067240752152
2011,CTL,36.016591970195094
2011,CTSH,-9.227433932557034
2011,CTXS,18.082537339290116
2011,CVS,-27.860835356443538
2011,CVX,-8.997380696770923
2011,CXO,-20.792110823547365
2011,D,-22.33623841591807
2011,DAL,46.29805024755005
2011,DD,13.115742390688082
2011,DE,36.26677892061113
2011,DFS,-19.551150241806294
2011,DG,0.9244908963939064
2011,DGX,-14.155864289845734
2011,DHI,-4.320628953184455
2011,DHR,-4.091589885164135
2011,DIS,-3.700640452816775
2011,DISCA,-2.4290682701406987
2011,DISCK,-32.006595671799985
2011,DLR,-0.8424858000494846
2011,DLTR,-25.32913318762372
2011,DNB,8.11556540288657
2011,DOV,5.803921336665762
2011,DPS,-16.08868125598013
2011,DRI,-12.169855996641274
2011,DUK,-11.926179571462464
2011,DVA,1.8251191415025478
2011,DVN,17.588149471963767
2011,EA,-18.807832259640648
2011,EBAY,-5.273342174402398
2011,ECL,-15.942523591522951
2011,ED,-21.573338078743493
2011,EFX,-18.672589264922998
2011,EIX,-1.5087406507029362
2011,EL,-27.491747548045065
2011,EMN,11.861085990096635
2011,EMR,20.237817114518574
2011,EOG,11.914894140241246
2011,EQIX,-20.125625481846022
2011,EQR,-11.45936377675052
2011,EQT,-5.019171805414238
2011,ES,-0.7158433048053403
2011,ESS,-37.38778304172051
2011,ETFC,74.59100188782442
2011,ETN,34.2783731374775
2011,ETR,4.092563760841941
2011,EW,16.948618964457655
2011,EXC,2.4685036641844977
2011,EXPD,15.289328433875882
2011,EXPE,-11.634900960900746
2011,EXR,-44.41374031932309
2011,F,66.82478866098478
2011,FAST,-37.462876010032716
2011,FCX,80.62807571547948
2011,FDX,31.384682146036106
2011,FE,-7.49041240064868
2011,FFIV,20.923069755837755
2011,FIS,-10.88669841032209
2011,FISV,-3.776820388874991
2011,FL,11.451436206734531
2011,FLIR,-19.521769040352396
2011,FLR,23.166699031057803
2011,FLS,18.144245354171662
2011,FMC,-12.073204312604132
2011,FRT,-16.367496068062884
2011,FSLR,140.83829223792193
2011,FTR,76.34383090508483
2011,GD,7.065189486896386
2011,GGP,-21.368762874499776
2011,GILD,-34.83096051710244
2011,GIS,-20.564894429478386
2011,GLW,72.19040902013028
2011,GPC,-9.90746154787317
2011,GPN,4.553845991311547
2011,GPS,-28.24613057879624
2011,GRMN,-40.7860571347408
2011,GT,15.566626042078596
2011,GWW,-26.86440757516425
2011,HAL,44.527857546077804
2011,HAR,32.417426430945206
2011,HAS,22.895485133593596
2011,HBAN,41.64254681620353
2011,HBI,3.987395645934057
