Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio,Short-Term Debt / Current Portion of Long-Term Debt,Quick Ratio,PE,PEG
2013-12-31,AAL,0.11602259547569582,0.5607030475011442,-0.5854882200723734,-0.32881935334064355,0.038693903015069156,0.14555651450154208,-0.4054828376548857,-0.3379215744801655,-0.07572490279082297
2014-12-31,AAL,0.4711424924123277,0.7431448431562225,-0.378197623758933,-0.32881935334064355,-0.12302868391084726,0.23222567869350952,-0.554113037875676,-0.25520353366784954,-0.0712693521847768
2015-12-31,AAL,0.43376145062952437,1.1992493322939182,-0.17090702744549252,0.2790957364860719,-0.2200622360663971,0.44008159627944,-0.6748750755550682,-0.17786579967183241,-0.08187898454839211
2013-12-28,AAP,-0.07555524366117138,0.15020900727721795,-0.378197623758933,-0.37947894415953654,-0.33865879981206914,-0.39662626674168316,-0.8142158882620592,0.03072489776296181,-0.6947143234140881
2016-01-02,AAP,-0.10826365522112431,-0.07784323729162994,-0.4611138622843092,-0.43013853497842947,-0.7483560200243907,-0.39674557753914225,-1.11147628870364,-0.07687825482586834,1.3609422249916998
2014-09-27,AAPL,-0.033501571655517606,-0.3515059307742474,0.4095066422321407,0.4310745089427508,-0.33865879981206914,1.9697360655896183,-0.3218783500306911,-0.13196214322048447,-0.2193203290130664
2015-09-26,AAPL,0.013224730572986593,-0.3058954818604778,0.45096476149482884,0.4817340997616437,-0.209280730271336,3.72975792370442,-0.2940101874892929,-0.15086796585424128,-0.043448736508453066
2016-09-24,AAPL,-0.028828941432667184,-0.3515059307742474,0.3680485229694527,0.3804149181238578,0.14650896096568009,3.957123783013217,-0.061775499644307966,-0.10866784589066152,-0.09346788345229523
2014-09-30,ABC,-0.1316268063353764,-2.039092540583722,-0.7513206971231258,-0.6834364890728942,-0.662103973663902,-0.3969699418689552,-0.8513734383172568,0.6055183333744061,-0.28343136122178564
2015-09-30,ABC,-0.09424576455257307,-1.9934820916699523,-0.7927788163858139,-0.6834364890728942,-0.662103973663902,-0.3969699418689552,-0.8420840508034574,-0.1268690015137601,-0.075107795715697
2016-09-30,ABC,0.11602259547569582,-1.9934820916699523,-0.7513206971231258,-0.6327768982540013,-0.6513224678688408,-0.16767222313840677,-0.8513734383172568,-2.4978190458823275,0.0419856990306267
2015-12-31,ABT,-0.09891839477542348,0.469482149673605,-0.21236514670818063,0.4310745089427508,-0.0475581433454196,0.7773784733728543,-0.12680121224090377,-0.01510111041956087,-0.11628214178503168
2014-12-31,ABT,-0.14564469700392768,0.33265080293229626,-0.25382326597086874,-0.12618099006507175,-0.30631428242688585,1.26775335475338,-0.3311677375444905,-0.10089883276720892,-0.05606848559544694
2013-12-31,ABT,-0.1503173272267781,0.2870403540185267,-0.3367395044962449,-0.024861808427285834,0.14650896096568009,0.7935116944129175,0.31908938842146733,0.07346962956598382,-0.4371493363502591
2014-11-28,ADBE,-0.17835310856388062,1.7465747192591532,-0.378197623758933,-0.37947894415953654,0.8473068376446512,-0.1706437373392742,0.42127265107326073,1.388148780438184,-2.0486043198769974
2015-11-27,ADBE,-0.1549899574496285,1.7009642703453836,-0.005074550394740166,-0.024861808427285834,1.170752011496484,-0.3969699418689552,0.7278224390286409,0.6098641343398618,-0.01839887271114997
2014-11-01,ADI,-0.13629943655822685,0.7887552920699921,0.28513228444407646,0.4310745089427508,3.585809309590169,-0.3969699418689552,3.2173782927268793,2.196052234130199,-1.83105358791973
2015-10-31,ADI,-0.1316268063353764,0.8799761898975312,0.2022160459187003,0.3297553273049649,2.1626505446421045,-0.2564255743740381,1.758944453060374,0.6114201686818875,-0.038527081040809714
2016-10-29,ADI,-0.11760891566682516,0.8343657409837616,0.45096476149482884,0.5830532813994297,4.814900970227134,-0.3969699418689552,4.155606431620618,1.776910972482982,-0.27295748492882
2014-12-31,ADM,-0.14564469700392768,-1.8566507449286436,-0.6684044585977497,-0.5314577166162154,-0.31709578822194695,-0.347444705187831,-0.3032995750030923,-0.12028096352495209,-0.051508538721983126
2015-12-31,ADM,-0.1503173272267781,-1.8566507449286436,-0.6684044585977497,-0.5314577166162154,-0.2416252476565193,-0.3602012055450902,-0.3590359000858887,-0.10799368366028218,-0.1999505040185765
2013-12-31,ADS,0.07396892347004205,-0.6251686242568649,0.24367416518138837,-0.12618099006507175,-0.4141293403774968,0.12435408533421625,0.8392950891942337,-0.03366800054317717,0.04095426011023747
2014-12-31,ADS,-0.09891839477542348,-0.7163895220844041,0.07784168813063602,-0.1768405808839647,-0.5003813867379856,0.07836502559036168,0.7371118265424402,0.1251317054782507,1.5392165137668237
2015-12-31,ADS,-0.056864722769769706,-0.7619999709981736,0.03638356886794793,-0.22750017170285766,-0.5003813867379856,0.13566985153347919,1.062240389525419,0.12341087327396684,-0.3316857234221292
2016-01-31,ADSK,-0.1035910249982739,1.7465747192591532,-0.7927788163858139,-0.024861808427285834,0.7502732854891014,-0.3969699418689552,0.4491408136146589,0.43531883574647795,-1.0075443627624872
2015-01-31,ADSK,-0.17835310856388062,1.7921851681729228,-0.5854882200723734,-0.5314577166162154,0.7933993086693457,-0.3969699418689552,0.4770089761560571,2.041339788835958,-0.3650795093611916
2014-01-31,ADSK,-0.1503173272267781,1.883406066000462,-0.25382326597086874,-0.1768405808839647,1.5157601969384389,-0.3969699418689552,1.1644236521772124,-0.9578531208224205,-0.06365808031299172
